Gene.symbol	logFC	adj.P.Val
	-1.12	0.00041
LOC665506	-1.01	0.00041
Syk	-8.87e-01	0.00041
Slc6a7	-9.53e-01	0.00041
Snrnp70	-9.60e-01	0.00041
Sulf1	9.73e-01	0.00041
	-9.03e-01	0.00041
D830039M14Rik	-1.22	0.000411
Scfd2	-1.06	0.000412
Tsks	-1.26	0.000412
Ugt1a1///Ugt1a6b///Ugt1a9///Ugt1a5///Ugt1a7c///Ugt1a10///Ugt1a6a///Ugt1a2	-1.04	0.000413
A330043J11Rik	-1.14	0.000413
2310079G19Rik	-1.16	0.000413
AB041806	-9.83e-01	0.000413
Med1	-9.67e-01	0.000413
Vpreb2///Vpreb1	-9.90e-01	0.000413
Rbmxl2	-1.02	0.000414
Mybl1	-1.59	0.000414
Glt8d1	-1.15	0.000414
Srd5a3	-9.23e-01	0.000414
LOC100504837	-1.03	0.000414
Cd300lf	-1.02	0.000414
	-1.14	0.00042
Gng12	-1.82	0.00042
Foxj2	-9.03e-01	0.00042
Zik1	-1.34	0.00042
A330102I10Rik	-1.13	0.00042
2900064B16Rik	-9.77e-01	0.00042
Arap1	-9.30e-01	0.000422
St6gal1	-9.60e-01	0.000422
3110035C09Rik	-1.15	0.000422
Bsn	-1.03	0.000422
1700037C18Rik	-9.17e-01	0.000425
Neurl1a	-1.09	0.000426
	-1.16	0.00043
1700034H15Rik	-1.02	0.00043
4921530L18Rik	-9.40e-01	0.000431
	-1.03	0.000433
Car12	-8.80e-01	0.000433
Lyrm1	-1.11	0.000433
	-1.08	0.000433
	-9.20e-01	0.000433
Srgn	-1.04	0.000435
Hspa13	-1.08	0.00044
Ugt1a1///Ugt1a6b///Ugt1a9///Ugt1a5///Ugt1a7c///Ugt1a10///Ugt1a6a///Ugt1a2	-1.16	0.000441
	-1.16	0.000441
Clec4b1///Clec4a2	-1.03	0.000441
Gtpbp8	-1.30	0.000441
Dgkh	-9.80e-01	0.000441
Bpifa5	-1.04	0.000441
	-1.07	0.000441
Igdcc3	-1.03	0.000447
	-1.04	0.000447
2810408A11Rik	-1.10	0.000447
Gm19270	-9.60e-01	0.000447
2700081L22Rik	-8.73e-01	0.000447
Tulp1	-9.30e-01	0.000449
Usf1	-1.13	0.000449
Mtpn	-1.09	0.000454
	-8.83e-01	0.000454
Akr1c18	-9.93e-01	0.000458
3110052M02Rik	-1.11	0.000458
Foxd2	-9.50e-01	0.000458
	-1.03	0.000461
Drc1	-9.17e-01	0.000461
Tmsb15l	-9.60e-01	0.000461
	-9.17e-01	0.000461
Hps1	-1.08	0.000461
Pdgfrb	-8.80e-01	0.000461
Mrpl33	-8.67e-01	0.000461
Lsp1	-8.93e-01	0.000461
Adprh	-1.07	0.000461
	-1.05	0.000461
	-9.70e-01	0.000461
Tead3	-8.97e-01	0.000461
Ctxn2	-9.33e-01	0.000461
Guca1a	-8.90e-01	0.000461
4930456A14Rik	-9.30e-01	0.000461
Prrt2///Pagr1a	-1.16	0.000461
4933401L05Rik	-1.01	0.000461
Ccdc106	-8.87e-01	0.000461
	-1.14	0.000461
Sh2d1b2///Sh2d1b1	-9.90e-01	0.000462
AI225934	-1.26	0.000462
Dnajc6	-9.23e-01	0.000462
Btbd7	-9.47e-01	0.000466
	-9.57e-01	0.000469
Slit3	-8.77e-01	0.000469
	-9.20e-01	0.000469
Ddhd1	-1.41	0.000469
	-1.02	0.000469
	-1.10	0.000469
Socs4	-9.43e-01	0.000469
Dus4l	-9.47e-01	0.000469
Tia1	-9.03e-01	0.000469
Ehd1	-9.57e-01	0.000469
Lmnb2	-9.67e-01	0.000469
Klk12	-8.53e-01	0.000469
Pla2g3	-9.00e-01	0.000469
	-1.21	0.000469
Pot1b	-8.97e-01	0.00047
	-1.39	0.00047
Zfp54	-9.07e-01	0.00047
Abcc6	-9.90e-01	0.00047
Prex1	-1.08	0.00047
Slc16a11	-8.67e-01	0.00047
Hoga1	-1.09	0.00047
5330403D14Rik	-9.13e-01	0.00047
Pdgfa	-1.02	0.000471
Figf	-1.07	0.000471
Dcdc2a	-1.02	0.000471
Il5	-9.40e-01	0.000473
	-1.26	0.000473
Krt31	-1.03	0.000473
Dmtn	-9.10e-01	0.000473
Nadsyn1	-8.93e-01	0.000473
Ttk	-9.63e-01	0.000474
Rapgef3	-1.02	0.000474
2610017I09Rik	-9.20e-01	0.000474
Lin7b	-8.77e-01	0.000477
Neil3	-1.11	0.000477
Dlg4	-8.57e-01	0.000477
	-1.02	0.000478
Gm12359	-8.70e-01	0.000478
Ccdc14	-8.63e-01	0.000478
Ooep	-9.60e-01	0.00048
Pdcd1	-9.87e-01	0.000481
Hook3	-1.13	0.000483
Nlrp6	-8.80e-01	0.000483
Gm4425///Gm9306///Gm5784///9030624G23Rik	-9.13e-01	0.000483
	-8.67e-01	0.000485
BC028528	-9.97e-01	0.000485
Agtr1a	-9.43e-01	0.000486
1700096K18Rik	-9.40e-01	0.000486
Dab1	-1.12	0.000486
	-9.00e-01	0.000487
Pex19	-8.67e-01	0.000487
	-1.07	0.000487
Greb1	-1.05	0.000487
	-8.83e-01	0.000487
Btbd7	-1.12	0.000487
Fam73a	-1.09	0.000488
Kcns2	-9.40e-01	0.00049
Pou3f1	-8.50e-01	0.00049
Chd8	-1.17	0.00049
Clmn	-1.18	0.00049
4930570B17Rik	-1.07	0.00049
Crx	-1.24	0.00049
Cacna2d1	-1.08	0.00049
Prrg1	-9.10e-01	0.00049
C2cd5	-9.20e-01	0.00049
Gpr146	-1.25	0.00049
Igdcc4	-1.06	0.00049
Phxr4	-9.80e-01	0.00049
	-1.09	0.00049
Camsap1	-8.60e-01	0.00049
Smtnl2	-9.77e-01	0.00049
Stx1a	-8.53e-01	0.00049
Zfp771	-9.43e-01	0.00049
B630019K06Rik	-1.22	0.00049
Fcgr1	-1.08	0.00049
1700010B08Rik	-1.10	0.00049
Ndn	-8.77e-01	0.00049
2310015B20Rik	-8.77e-01	0.00049
	-1.07	0.00049
Ppp1r9a	-8.63e-01	0.000491
Tpmt	-9.23e-01	0.000492
D230040A04Rik	-9.80e-01	0.000492
Pgam2	-8.20e-01	0.000494
Il21	-1.07	0.000494
Mrpl30	-8.53e-01	0.000494
4933424C08Rik	-1.05	0.000494
Slc4a11	-8.70e-01	0.000494
	-9.33e-01	0.000494
Vamp4	-1.44	0.000494
	-1.09	0.000494
	-8.77e-01	0.000494
Cacna1s	-8.43e-01	0.000494
Prkar1b	-1.03	0.000494
Slc16a9	-1.23	0.000494
Zc3h6	-8.77e-01	0.000494
Adk	-1.17	0.000494
4930435H24Rik	-1.14	0.000494
Pitpnc1	-8.93e-01	0.000494
Chst10	-1.00	0.000494
Tysnd1	-8.57e-01	0.000494
Samd4	8.33e-01	0.000495
Whsc1	-8.63e-01	0.000497
	-1.38	0.000497
Spo11	-9.00e-01	0.000498
Dtx4	-1.01	0.000498
9430012M22Rik	-8.40e-01	0.000502
Zfp28	-1.08	0.000502
1700023G09Rik	-9.10e-01	0.000502
Fcrl1	-9.57e-01	0.000502
	-9.43e-01	0.000502
Srek1	-9.73e-01	0.000502
A630007B06Rik	-9.23e-01	0.000504
Zfp937	-1.37	0.000504
Sec14l4	-1.23	0.000504
	-1.10	0.000505
Crmp1	-9.07e-01	0.000506
Numa1	-1.04	0.000506
Hdc	-9.90e-01	0.000506
	-8.50e-01	0.000507
Oprk1	-8.30e-01	0.000507
E430016F16Rik	-1.09	0.000509
Smim6	-9.07e-01	0.00051
	-9.63e-01	0.000512
Myo10	-9.63e-01	0.000514
Glt6d1	-1.04	0.000514
Cdc25b	-8.93e-01	0.000514
Slc7a7	-8.97e-01	0.000514
	-1.04	0.000514
Bcl11b	-9.37e-01	0.000515
Bdkrb2	-9.13e-01	0.000515
Rabepk	-1.22	0.000517
Tnnc1	-9.33e-01	0.000519
Smpd1	-9.23e-01	0.000519
Gm9779	-1.07	0.000519
Rdh11	-9.63e-01	0.000521
Tmc1	-8.17e-01	0.000525
	-1.03	0.000527
	-1.02	0.000527
	-1.21	0.000528
Etv2	-1.13	0.000528
Ap5s1	-9.77e-01	0.000528
Nrl	-1.05	0.000529
Tmem26	-1.21	0.000529
Dspp	-1.02	0.000531
Rest	-9.43e-01	0.000532
Nmrk2	-9.47e-01	0.000535
Acer3	-1.14	0.000535
Muc20	-8.23e-01	0.000535
Snx30	-9.93e-01	0.000535
Pcdhb8	-1.10	0.000536
Ccsap	-8.67e-01	0.000536
Angptl1	-9.50e-01	0.000537
Cep55	-8.90e-01	0.000537
Hcn2	-9.77e-01	0.000537
Abat	-9.10e-01	0.000537
Tcf7l2	-8.53e-01	0.000537
5330430C04Rik	-8.57e-01	0.000537
	-8.80e-01	0.000537
	-9.50e-01	0.000537
4930447F24Rik	-1.03	0.000537
Zfp646	-8.73e-01	0.000537
	-9.57e-01	0.000537
D6Ertd90e	-1.05	0.000537
Aldob	-9.63e-01	0.000537
Cenpf	-9.63e-01	0.000537
Tnfrsf18	-8.30e-01	0.000537
Doc2g	-8.93e-01	0.000537
Rdh14	-1.01	0.000538
Nfat5	-1.02	0.000538
Ms4a10	-9.37e-01	0.000538
Fut9	-1.04	0.000539
Srr	-8.17e-01	0.00054
Ankib1	-9.87e-01	0.000541
Mthfr	-8.97e-01	0.000543
Tppp3	-8.37e-01	0.000547
Ighm	-8.93e-01	0.000547
Anks1b	-8.27e-01	0.000547
Elovl7	1.10	0.000547
Folr2	-8.30e-01	0.000547
4930513N20Rik	-8.50e-01	0.000547
	-8.50e-01	0.000547
C920021L13Rik	-1.03	0.000548
Nkx2-5	-9.60e-01	0.000548
Zfp827	-8.23e-01	0.000548
Efcab4a	-1.16	0.000548
Cotl1	-9.07e-01	0.000548
Cacna1f	-9.47e-01	0.000548
	-8.77e-01	0.000548
	-1.11	0.000548
Fam114a1	-1.11	0.000548
	-9.73e-01	0.000548
Pcdhgc4	-1.27	0.000548
Gata6	-1.08	0.000548
Fam102a	-9.13e-01	0.000548
Camk2n2	-8.80e-01	0.000548
Eif4ebp2	-1.23	0.000552
Mgam	-1.26	0.000552
Utp11l	-1.10	0.000552
LOC100504784///Rpl39-ps///Rpl39	-8.50e-01	0.000552
1700008F19Rik	-1.09	0.000552
Slc40a1	9.53e-01	0.000552
Rab3gap2	-9.53e-01	0.000552
Phyhipl	-8.17e-01	0.000552
Rasal3	-1.02	0.000552
Fscn2	-8.60e-01	0.000552
1700085D22Rik	-1.19	0.000552
Vopp1	-8.17e-01	0.000552
Cep97	-9.60e-01	0.000552
4930487N04Rik	-8.50e-01	0.000552
Cnnm1	-8.47e-01	0.000552
Pld1	-9.07e-01	0.000552
Ikbkb	-8.00e-01	0.000552
	-8.53e-01	0.000552
Bcl2l12	-1.17	0.000552
2310061G22Rik	-8.93e-01	0.000552
Casr	-8.23e-01	0.000552
	-9.57e-01	0.000552
	-8.87e-01	0.000552
Zfp385c	-8.57e-01	0.000552
Fam167b	-9.27e-01	0.000552
Dnah17	-1.07	0.000554
H1f0	-8.67e-01	0.000554
Slc1a3	-9.87e-01	0.000554
Gas2l3	-8.83e-01	0.000554
Cd164l2	-9.40e-01	0.000554
Trim26	-9.47e-01	0.000557
Ddr1	-9.80e-01	0.000557
Pmp22	-9.30e-01	0.000557
Slc7a2	-9.47e-01	0.000557
Stxbp4	-1.12	0.000557
Tenm4	-1.07	0.000557
	-8.60e-01	0.000557
Gatad2b	-1.02	0.000559
Nudt17	-9.20e-01	0.000559
Arhgap33	-9.60e-01	0.00056
Kcnq1ot1	-8.00e-01	0.00056
1810010D01Rik	-1.34	0.000564
Parp11	-9.80e-01	0.000564
Vmn1r65	-1.01	0.000565
Nrxn2	-8.13e-01	0.000565
Ngb	-1.03	0.000566
Zkscan4	-9.77e-01	0.000566
Slc38a9	-1.00	0.000566
Ptpru	-7.93e-01	0.000566
Cklf	-8.37e-01	0.00057
	-8.47e-01	0.000574
Plp1	-8.93e-01	0.000574
Slc38a9	-1.01	0.000574
Retsat	-1.02	0.000575
Chn2	-7.97e-01	0.000578
Bcl6b	-1.08	0.000578
Tekt5	-9.47e-01	0.000578
Dnm2	-9.83e-01	0.000578
Itgb1bp2	-8.87e-01	0.000578
Ppp6r2	-9.23e-01	0.000578
Magi3	-9.17e-01	0.000578
	-9.17e-01	0.000578
Drp2	-8.50e-01	0.000578
Fam196a	-8.13e-01	0.000579
	-9.37e-01	0.000579
Stard6	-1.01	0.00058
Grasp	-8.63e-01	0.000581
Fzd3	-9.67e-01	0.000581
AU021895///Gpr137b	-9.07e-01	0.000582
Pxdn	-8.43e-01	0.000582
Htatip2	-8.83e-01	0.000582
	-9.23e-01	0.000582
2310029O18Rik	-8.40e-01	0.000582
1810034E14Rik	-9.60e-01	0.000582
Greb1	-8.53e-01	0.000582
LOC100505168///Gm20166	-8.50e-01	0.000582
Ptgir	-9.60e-01	0.000582
Ube2d2a	-8.37e-01	0.000582
Clvs1	-1.25	0.000582
Sec24c	-1.19	0.000582
	-9.73e-01	0.000582
	-9.47e-01	0.000582
Zfp647	-1.11	0.000582
Musk	-9.50e-01	0.000582
Cbfa2t3	-7.87e-01	0.000583
Erv3	-8.03e-01	0.000583
Srpk2	-8.07e-01	0.000586
Stat5a	-1.08	0.000587
	-8.17e-01	0.000588
Cadm3	-9.17e-01	0.000588
LOC100505173///Deptor	-9.70e-01	0.000588
	-9.27e-01	0.000588
Ropn1	-8.10e-01	0.000588
Rbpms	-8.70e-01	0.000588
Htt	-8.67e-01	0.000588
Ttll6	-8.23e-01	0.000588
	-1.01	0.000588
Arid5b	-8.30e-01	0.000588
Elovl7	1.03	0.000588
Slc16a9	-1.27	0.00059
Aqp9	-9.63e-01	0.00059
Parp16	-8.20e-01	0.000593
Itpk1	-8.40e-01	0.000593
Prss36	-8.73e-01	0.000597
Cmpk2	-8.73e-01	0.000597
	-8.80e-01	0.000597
Cmklr1	-8.43e-01	0.000597
Cst11	-8.37e-01	0.000598
2810414N06Rik	-1.13	0.000598
	-8.53e-01	0.000601
Zfp949	-9.83e-01	0.000601
Cln3	-8.00e-01	0.000601
8430437N05Rik	-8.40e-01	0.000601
Mpped1	-9.20e-01	0.000601
	-9.70e-01	0.000602
Ptpn6	-1.05	0.000602
Sfn	-1.01	0.000602
Usp24	-8.27e-01	0.000605
Sh2d3c	-9.43e-01	0.000608
Tceanc2	-9.30e-01	0.00061
Prpf40a	-1.38	0.00061
Otx1	-8.23e-01	0.00061
Pde1a	-9.07e-01	0.00061
	-9.73e-01	0.00061
	-7.80e-01	0.00061
H2-M10.1	-9.47e-01	0.00061
Nudt16	-8.23e-01	0.000612
Sla	-7.90e-01	0.000612
Adamts2	-7.70e-01	0.000612
	-8.67e-01	0.000612
	-9.40e-01	0.000612
Galm	-7.57e-01	0.000612
Tmem206	-1.10	0.000612
Ptk2b	-8.80e-01	0.000612
1700008N17Rik	-8.43e-01	0.000612
	-8.70e-01	0.000612
Card10	-8.93e-01	0.000612
4930579D07Rik	-1.28	0.000612
Usp13	-9.50e-01	0.000615
2310065H11Rik///2310057J18Rik	-9.90e-01	0.000617
	-1.09	0.000617
Ttn	-1.18	0.000617
Adra2c	-7.57e-01	0.000617
	-9.27e-01	0.00062
	-8.70e-01	0.00062
Cys1	-8.47e-01	0.00062
Arfgap3	-9.37e-01	0.00062
Ubl4b	-9.60e-01	0.00062
	-9.27e-01	0.00062
A630023P12Rik	-8.17e-01	0.000621
Ntm	-9.23e-01	0.000621
	-7.83e-01	0.000621
Elmo1	-9.60e-01	0.000623
Arhgdib	-9.33e-01	0.000625
Rec8	-8.20e-01	0.000625
	-1.14	0.000625
Cbfa2t2	-8.83e-01	0.000625
Car2	-9.30e-01	0.000626
Mrpl15	-9.73e-01	0.000626
2310075K07Rik	-8.17e-01	0.000626
Hid1	-9.07e-01	0.000626
Scara5	-1.07	0.000626
2810417H13Rik	-8.93e-01	0.000626
Zbtb20	-1.23	0.000626
	-8.40e-01	0.000626
	-7.77e-01	0.000626
Atp4a	-8.23e-01	0.000626
AW046287	-8.67e-01	0.000626
Luc7l2	-9.00e-01	0.000626
Pde8a	-1.14	0.000626
2600006K01Rik	-8.57e-01	0.000626
Gm9905	-8.33e-01	0.000626
Crispld2	-8.53e-01	0.000626
Zfp882	-8.53e-01	0.000626
Cabp5	-9.17e-01	0.000626
Prr24	-9.50e-01	0.000627
Zfand1	-9.60e-01	0.000627
Zdhhc2	-1.07	0.000628
Ncald	-8.03e-01	0.000628
Gm3626	-9.13e-01	0.000628
H2-D1	-8.97e-01	0.000628
LOC74457	-1.07	0.00063
	-8.40e-01	0.00063
Gm17508	-9.27e-01	0.00063
Zfp281	-9.30e-01	0.000633
Gls	-1.07	0.000634
Gm4792	-8.37e-01	0.000634
Gid4	-7.63e-01	0.000634
Scml2	-9.47e-01	0.000634
C8a	-1.12	0.000635
Gsta4	-1.39	0.000636
Retsat	-1.08	0.000636
	-1.30	0.000639
F11r	-1.00	0.000643
Casp9	-1.01	0.000643
A2m	-7.93e-01	0.000643
Fabp4	-1.01	0.000646
Tet1	-1.33	0.000646
Wdr78	-8.40e-01	0.000648
Ptpn6	-9.00e-01	0.000648
5330422M15Rik	-9.37e-01	0.000649
Rbm12	-1.03	0.000649
Prox2	-7.57e-01	0.00065
Tmx3	-9.93e-01	0.000653
Celsr3	-1.01	0.000653
Rabl6	-1.07	0.000653
Slc44a2	-7.83e-01	0.000654
	-1.00	0.000654
Lyn	-7.57e-01	0.000656
Snx10	-9.53e-01	0.000656
A330021E22Rik	-8.27e-01	0.000656
Tcam1	-8.77e-01	0.000656
Rnf138rt1	-8.00e-01	0.000656
Gprc5c	-8.43e-01	0.000656
Pde8a	-7.77e-01	0.000656
Ttll13	-1.00	0.000656
Snd1	-8.00e-01	0.000659
Fyn	-1.10	0.000659
5430427G11Rik	-8.97e-01	0.00066
Wdr76	-9.17e-01	0.000661
Oxa1l	-8.67e-01	0.000661
Pea15a	-1.13	0.000661
Lig3	-7.90e-01	0.000662
Apol8	-8.43e-01	0.000662
Zfp54	-7.60e-01	0.000663
Gm3620	-9.13e-01	0.000663
Sp110	-7.53e-01	0.000664
1600014C10Rik	-9.87e-01	0.000665
Tmed3	-8.90e-01	0.000666
Prmt6	-1.15	0.000666
Mrps14	-9.70e-01	0.000669
Zscan21	-8.23e-01	0.000669
5830434F19Rik	-8.90e-01	0.000669
Tbx1	-9.70e-01	0.000669
Gm5141	-8.53e-01	0.000669
Lrrc71	-7.63e-01	0.000669
Camk2d	-7.97e-01	0.000671
Krt71	-8.77e-01	0.000672
Havcr2	-8.57e-01	0.000672
Eif3l	-9.50e-01	0.000672
Lefty2	-8.13e-01	0.000673
Tspan10	-1.04	0.000675
	-9.00e-01	0.000677
Fam105a	-8.43e-01	0.000677
	-9.23e-01	0.000678
C820005J03Rik	-8.77e-01	0.000678
Ube2w	-1.04	0.000678
Strap	-8.57e-01	0.000678
Zkscan3	-7.57e-01	0.00068
Egfr	-7.50e-01	0.00068
Rnf219	-1.01	0.000682
4933439N06Rik	-9.10e-01	0.000682
Grpr	-9.30e-01	0.000682
Asgr1	-9.50e-01	0.000682
Alox5	-9.70e-01	0.000682
Lgals4	-8.83e-01	0.000682
AW987390	-1.06	0.000682
	-8.50e-01	0.000682
Rasl12	-8.53e-01	0.000682
Zfp287	-8.40e-01	0.000682
4930432K21Rik	-8.07e-01	0.000682
Sptlc1	-8.07e-01	0.000682
Sfpq	-7.70e-01	0.000682
Mtmr9	-8.03e-01	0.000682
Gm9799	-8.20e-01	0.000682
